graph_file,wall_min,wall_max,wall_mean,wall_std,cum_min,cum_max,cum_mean,cum_std,mem_min_MB,mem_max_MB,mem_mean_MB,mem_std_MB,gfa_S,gfa_L,gfa_P,size_graph_MB
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752151/metaspades_output/assembly_graph_after_simplification.gfa,9431.997255943716,9532.105942159891,9479.601798440144,33.036901376465586,85782.76877479201,86701.64045651106,86210.36529,297.8622929,28265.705169677734,28265.705169677734,28265.705169677734,0,11949137,13199576,0,2651.826189994812
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752163/metaspades_output/assembly_graph_after_simplification.gfa,6303.3622828274965,6380.121373999864,6331.366133361682,24.606949030290192,56953.66960514699,57730.97475609102,57208.47135,254.15394563822298,20082.959800720215,20082.959800720215,20082.959800720215,0,8896480,8483013,0,2499.7974824905396
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752162/metaspades_output/assembly_graph_after_simplification.gfa,5736.3255203180015,5779.941283382475,5761.736445899308,15.746477526049354,51653.69310553198,52121.836136692014,51913.79814444751,140.42541520269154,17867.26399230957,17867.26399230957,17867.26399230957,0,7831451,7569780,0,2190.5791940689087
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752160/metaspades_output/assembly_graph_after_simplification.gfa,6087.413336005062,6154.343413837254,6123.522202414647,17.579374059974516,55150.922173298015,55856.13076794701,55499.77023000421,182.43431913966805,18324.343719482422,18324.343719482422,18324.343719482422,0,7841782,8228939,0,2047.0038261413574
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752150/metaspades_output/assembly_graph_after_simplification.gfa,4584.577925,4632.324644625187,4607.780380102619,13.547147544173727,41378.80962017201,41979.45276972601,41696.99535095041,157.65504042630138,14250.154731750488,14250.154731750488,14250.154731750488,0,6108040,6156615,0,1684.1716051101685
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752154/metaspades_output/assembly_graph_after_simplification.gfa,4319.330863915384,4362.996535945684,4336.077237781137,12.39904844074745,38969.396373369025,39369.954824539025,39130.0406,116.73505277941845,13488.86117553711,13488.86117553711,13488.86117553711,0,5950994,5763429,0,1480.9750509262085
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752153/metaspades_output/assembly_graph_after_simplification.gfa,2079.786412615329,2098.2816128209233,2089.5604879580437,5.433803592033265,18732.42643511901,18923.35741133201,18826.83338,57.713350899499645,7064.047073364258,7064.047073364258,7064.047073364258,0,3155580,2702847,0,1078.8023252487183
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR594355/metaspades_output/assembly_graph_after_simplification.gfa,1864.5503244809806,1872.0532959215343,1869.180264275521,2.485638334582506,16736.86469,16808.49154181801,16779.65632,21.79068076238407,6341.387245178223,6341.387245178223,6341.387245178223,0,2895102,2390500,0,920.6793137
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR599362/metaspades_output/assembly_graph_after_simplification.gfa,2164.0511493347585,2192.162204,2176.156015241146,9.556126423929822,19513.234570641005,19786.30037689401,19647.682654847198,92.02654123280915,6928.3125076293945,6928.3125076293945,6928.3125076293945,0,3042694,2890816,0,814.6521511077881
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR594375/metaspades_output/assembly_graph_after_simplification.gfa,1191.523354459554,1200.9139673374593,1195.353741307184,3.5001562556647947,10630.852821778002,10734.148230211005,10672.074981485403,35.65911459488449,4265.237579345703,4265.237579345703,4265.237579345703,0,1978224,1443623,0,742.0384607315063
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR594362/metaspades_output/assembly_graph_after_simplification.gfa,1053.5955828800797,1066.6110688000917,1060.1728192932903,3.650145201033218,9370.053277770005,9491.777744056997,9419.050475538601,39.145405386318586,3834.630989074707,3834.630989074707,3834.630989074707,0,1867417,1221061,0,670.6450167
