graph_file,wall_min,wall_max,wall_mean,wall_std,cum_min,cum_max,cum_mean,cum_std,mem_min_MB,mem_max_MB,mem_mean_MB,mem_std_MB,gfa_S,gfa_L,gfa_P,size_graph_MB
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752163/megahit_output/converted_graph.gfa,1166.7022553533316,1172.6703798137605,1169.1387416385114,1.7581691433450677,10722.195540070012,10791.102564535999,10746.6608086632,19.887549315788505,4196.30012512207,4196.30012512207,4196.30012512207,0.0,2344352,1276344,0,1814.2871828079224
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752147/megahit_output/converted_graph.gfa,1081.648546129465,1090.2414515949786,1083.8799438640476,2.4074638641753467,9979.227768117998,10056.685021478008,9999.624790675103,21.860971355022897,3812.5774154663086,3812.5774154663086,3812.5774154663086,0.0,2095749,1217564,0,1633.6819171905518
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752151/megahit_output/converted_graph.gfa,968.5317212790251,979.9624558649957,973.2160813067109,3.809836888611933,8874.050788964003,8977.838569103002,8916.3617837313,35.35111776511684,3533.1719970703125,3533.1719970703125,3533.1719970703125,0.0,2024187,1045372,0,1491.3746185302734
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752146/megahit_output/converted_graph.gfa,886.4913742318749,893.5964929386973,890.2722959507257,2.527579690660414,8207.815045472,8271.620475834,8242.618867889401,22.483454271498182,3128.575881958008,3128.575881958008,3128.575881958008,0.0,1666049,1014168,0,1352.4828453063965
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752150/megahit_output/converted_graph.gfa,688.9121597334743,693.7803848609328,692.3789450936019,1.387964541964057,6337.154467379001,6380.963295136007,6367.981345409701,12.607019362396642,2600.1717071533203,2600.1717071533203,2600.1717071533203,0.0,1396194,756598,0,1183.7685070037842
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752145/megahit_output/converted_graph.gfa,594.4989677891135,599.7757679149508,596.7015988167375,1.7947579029508192,5437.251704634996,5484.387447368999,5455.9523334351,16.659043940979455,2296.0029220581055,2296.0029220581055,2296.0029220581055,0.0,1265386,628316,0,1044.9449844360352
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752149/megahit_output/converted_graph.gfa,571.9388593882322,576.6496435776353,573.8321348913014,1.3718020882051174,5265.896201345006,5309.026850681997,5283.843353081301,12.424738714304043,2187.5780639648438,2187.5780639648438,2187.5780639648438,0.0,1153869,627208,0,1016.0835552215576
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752153/megahit_output/converted_graph.gfa,406.21757209673524,409.32537392154336,407.7185895074159,0.9063357716659505,3720.7571338290013,3748.833910623999,3735.3986860931004,8.052024787549799,1693.5805358886719,1693.5805358886719,1693.5805358886719,0.0,878626,418372,0,822.9299840927124
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752144/megahit_output/converted_graph.gfa,505.90919803828,508.14963330328465,506.7733154669404,0.6683511916814725,4684.379870517997,4703.603741908,4692.0384563945,5.800020601864311,1809.9179000854492,1809.9179000854492,1809.9179000854492,0.0,946706,579536,0,805.8348264694214
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752143/megahit_output/converted_graph.gfa,385.4983081370592,388.6128193922341,386.8869002912194,1.0903903857682653,3559.390028016001,3588.002959231002,3571.6685120842003,9.713260199938228,1418.4653396606445,1418.4653396606445,1418.4653396606445,0.0,748451,434894,0,624.7590198516846
