graph_file,wall_min,wall_max,wall_mean,wall_std,cum_min,cum_max,cum_mean,cum_std,mem_min_MB,mem_max_MB,mem_mean_MB,mem_std_MB,gfa_S,gfa_L,gfa_P,size_graph_MB
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752163/megahit_output/converted_graph.gfa,61.864001240581274,62.403690446168184,62.135437197610734,0.15126089030775608,125.81825874900002,126.98415069299999,126.4194997044,0.3289443536709024,1365.7698287963867,1365.7698287963867,1365.7698287963867,0.0,2344352,1276344,0,1814.2871828079224
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752147/megahit_output/converted_graph.gfa,56.7345877289772,57.02991587668657,56.89218305498362,0.12093148615907087,115.33246063799999,116.073927277,115.6971026065,0.2689885979391778,1287.7238006591797,1287.7238006591797,1287.7238006591797,0.0,2095749,1217564,0,1633.6819171905518
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752151/megahit_output/converted_graph.gfa,51.561190493404865,51.927445981651545,51.766207780689,0.0950523586738167,104.62461540100001,105.42819212200003,105.07790506770002,0.21973355120569116,1178.8610382080078,1178.8610382080078,1178.8610382080078,0.0,2024187,1045372,0,1491.3746185302734
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752146/megahit_output/converted_graph.gfa,45.74882972240448,46.12687309458852,45.96927064917982,0.12638116822586407,92.64275224800002,93.401419804,93.0370557644,0.2487133116827203,1090.0271377563477,1090.0271377563477,1090.0271377563477,0.0,1666049,1014168,0,1352.4828453063965
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752150/megahit_output/converted_graph.gfa,35.92044961825013,36.38804825767875,36.04790645129979,0.143367475157184,73.27199023,74.27055845899999,73.5219865008,0.3008945197025731,800.0478286743164,800.0478286743164,800.0478286743164,0.0,1396194,756598,0,1183.7685070037842
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752145/megahit_output/converted_graph.gfa,31.561611726880074,31.693494766950607,31.621880738809704,0.041808879026609305,64.498679786,64.755925947,64.63042622990001,0.07895183291782412,697.0766448974609,697.0766448974609,697.0766448974609,0.0,1265386,628316,0,1044.9449844360352
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752149/megahit_output/converted_graph.gfa,30.00150267779827,30.11569392681122,30.049655902013182,0.046687209234997785,61.11966880900001,61.43921096800001,61.25204767790001,0.11710759119268593,672.5039978027344,672.5039978027344,672.5039978027344,0.0,1153869,627208,0,1016.0835552215576
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752153/megahit_output/converted_graph.gfa,21.426938116550446,21.59346190840006,21.524225809797645,0.05288821077139611,44.132819734000016,44.51843188000001,44.3309963711,0.10953009807177659,511.09935760498047,511.09935760498047,511.09935760498047,0.0,878626,418372,0,822.9299840927124
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752144/megahit_output/converted_graph.gfa,25.52609835192561,25.647477950900793,25.581359020993112,0.043384686915437995,52.13751411600003,52.37359229500002,52.24232583900001,0.08766538283972886,608.9706192016602,608.9706192016602,608.9706192016602,0.0,946706,579536,0,805.8348264694214
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752143/megahit_output/converted_graph.gfa,19.61164467036724,19.845012597739697,19.744763223081826,0.058904802706553405,39.80483580799999,40.275101181000004,40.0760445812,0.11938459972801142,494.7474060058594,494.7474060058594,494.7474060058594,0.0,748451,434894,0,624.7590198516846
